Frequency Index - Plot 0,Magnitude - Plot 0
415,0.0590141
416,0.0183167
417,0.136938
418,0.0426241
419,0.0859784
420,0.164792
421,0.0753217
422,0.0891578
423,0.0505803
424,0.013105
425,0.0552227
426,0.0410151
427,0.0227851
428,0.0270583
429,0.131356
430,0.125252
431,0.044429
432,0.124125
433,0.153582
434,0.0694091
435,0.07581
436,0.0127519
437,0.115784
438,0.0719544
439,0.0469124
440,0.077969
441,0.10329
442,0.15747
443,0.0518962
444,0.1802
445,0.10995
446,0.0361068
447,0.0354993
448,0.0879684
449,0.0590729
450,0.0211495
451,0.0372585
452,0.0507754
453,0.0569552
454,0.0923362
455,0.0981433
456,0.0321513
457,0.0545749
458,0.104432
459,0.0779114
460,0.0913981
461,0.101171
462,0.0825609
463,0.0103839
464,0.0712281
465,0.0424961
466,0.0828219
467,0.0708351
468,0.0310082
469,0.0711413
470,0.110475
471,0.0783844
472,0.0621218
473,0.0669791
474,0.0137921
475,0.174145
476,0.0688895
477,0.153106
478,0.060448
479,0.134666
480,0.136405
481,0.0744724
482,0.0799969
483,0.0191568
484,0.0520673
485,0.0653839
486,0.132768
487,0.145513
488,0.0293991
489,0.131354
490,0.115894
491,0.0520586
492,0.0663133
493,0.0114357
494,0.13464
495,0.0528258
496,0.111128
497,0.137088
498,0.107715
499,0.0960098
500,0.242876
501,0.0204586
502,0.107351
503,0.22148
504,0.0385126
505,0.0953867
506,0.0152906
507,0.0718585
508,0.0477919
509,0.113477
510,0.0834855
511,0.124417
512,0.0687895
513,0.0679182
514,0.0999508
515,0.0887049
516,0.0861737
517,0.0663841
518,0.0934155
519,0.077017
520,0.111657
521,0.0463214
522,0.0696325
523,0.0562545
524,0.0227326
525,0.103433
526,0.154544
527,0.0736109
528,0.12576
529,0.0161394
530,0.121507
531,0.099254
532,0.145715
533,0.092946
534,0.267204
535,0.0445894
536,0.0807492
537,0.094252
538,0.128502
539,0.129529
540,0.0628764
541,0.105463
542,0.120981
543,0.0681815
544,0.134821
545,0.133321
546,0.110102
547,0.0706852
548,0.0515057
549,0.0456429
550,0.0742334
551,0.0747059
552,0.073439
553,0.122271
554,0.0715314
555,0.0323141
556,0.0828074
557,0.148096
558,0.113733
559,0.123726
560,0.121589
561,0.0861261
562,0.120624
563,0.0760825
564,0.0985266
565,0.138642
566,0.144951
567,0.0657812
568,0.16547
569,0.144481
570,0.0563946
571,0.121106
572,0.0302201
573,0.0733031
574,0.11148
575,0.0679468
576,0.0950425
577,0.0998464
578,0.0302923
579,0.0961617
580,0.0650806
581,0.0723027
582,0.17851
583,0.100881
584,0.0756344
585,0.064597
586,0.0947304
587,0.0941064
588,0.0943313
589,0.0261614
590,0.14572
591,0.0576999
592,0.14358
593,0.137683
594,0.133752
595,0.0937281
596,0.0481099
597,0.0511807
598,0.0236669
599,0.107381
600,0.0796634
601,0.0375979
602,0.0758422
603,0.12616
604,0.0870638
605,0.197297
606,0.0390594
607,0.109456
608,0.115255
609,0.0475556
610,0.0791183
611,0.102445
612,0.127953
613,0.154195
614,0.0692946
615,0.0161797
616,0.047843
617,0.0605646
618,0.0342718
619,0.114598
620,0.133411
621,0.0860076
622,0.0826016
623,0.18169
624,0.112199
625,0.104947
626,0.0805992
627,0.0738437
628,0.0644532
629,0.0705017
630,0.172904
631,0.0296992
632,0.139801
633,0.0763378
634,0.164403
635,0.179439
636,0.0851631
637,0.0666642
638,0.170951
639,0.065892
640,0.16137
641,0.0954009
642,0.139884
643,0.165533
644,0.122734
645,0.0686967
646,0.140802
647,0.107803
648,0.155957
649,0.0833563
650,0.0632635
651,0.219458
652,0.112589
653,0.149057
654,0.172429
655,0.0370907
656,0.0793644
657,0.0971711
658,0.128289
659,0.0472268
660,0.127054
661,0.111453
662,0.0669675
663,0.0911852
664,0.096219
665,0.147802
666,0.104301
667,0.11833
668,0.096787
669,0.0775256
670,0.139689
671,0.122045
672,0.101625
673,0.168817
674,0.0691763
675,0.114922
676,0.0636859
677,0.161353
678,0.252264
679,0.093725
680,0.0713033
681,0.118021
682,0.184728
683,0.0606903
684,0.127253
685,0.138879
686,0.124326
687,0.210445
688,0.114607
689,0.226841
690,0.199736
691,0.178625
692,0.0864181
693,0.131987
694,0.207171
695,0.211598
696,0.149159
697,0.194303
698,0.160732
699,0.274336
700,0.231019
701,0.147478
702,0.254116
703,0.10876
704,0.177759
705,0.148598
706,0.130063
707,0.267399
708,0.0911745
709,0.213309
710,0.107661
711,0.236903
712,0.156365
713,0.146063
714,0.118283
715,0.17274
716,0.215803
717,0.174149
718,0.255678
719,0.239322
720,0.168743
721,0.153173
722,0.220368
723,0.166009
724,0.232126
725,0.334771
726,0.230949
727,0.267954
728,0.283934
729,0.250019
730,0.280625
731,0.30855
732,0.171233
733,0.291584
734,0.41869
735,0.309868
736,0.363245
737,0.29842
738,0.388464
739,0.328979
740,0.386916
741,0.452984
742,0.444059
743,0.463749
744,0.372672
745,0.364999
746,0.46369
747,0.440886
748,0.468845
749,0.577271
750,0.548296
751,0.59992
752,0.631392
753,0.663029
754,0.748524
755,0.726135
756,0.814054
757,0.796423
758,0.804463
759,0.872712
760,1.10585
761,1.14932
762,1.37885
763,1.4229
764,1.63024
765,2.08946
766,2.57847
767,3.46461
768,5.16357
769,10.1913
770,1148.05
771,10.3013
772,5.25545
773,3.43519
774,2.60158
775,2.01367
776,1.69641
777,1.55755
778,1.17593
779,1.17091
780,1.08747
781,0.846717
782,0.874766
783,0.728055
784,0.642083
785,0.670612
786,0.576089
787,0.632705
788,0.577053
789,0.412059
790,0.469375
791,0.510402
792,0.479812
793,0.398061
794,0.490164
795,0.42206
796,0.400882
797,0.336619
798,0.337199
799,0.330639
800,0.459982
801,0.208028
802,0.334503
803,0.314332
804,0.313005
805,0.371441
806,0.292421
807,0.295915
808,0.120281
809,0.23105
810,0.0978483
811,0.242179
812,0.232836
813,0.17091
814,0.195592
815,0.134759
816,0.252176
817,0.231456
818,0.188138
819,0.163068
820,0.179268
821,0.182494
822,0.235507
823,0.229849
824,0.211471
825,0.121809
826,0.212097
827,0.205817
828,0.18257
829,0.126022
830,0.163186
831,0.177721
832,0.027495
833,0.0830445
834,0.199423
835,0.108635
836,0.124861
837,0.136255
838,0.235346
839,0.142877
840,0.0757053
841,0.125933
842,0.147249
843,0.165979
844,0.0565501
845,0.0868688
846,0.0962555
847,0.0927069
848,0.256576
849,0.155991
850,0.0682079
851,0.198329
852,0.138078
853,0.0422043
854,0.10253
855,0.0939699
856,0.138066
857,0.107217
858,0.124807
859,0.0789119
860,0.0860118
861,0.1554
862,0.0647516
863,0.124402
864,0.132988
865,0.17679
866,0.156548
867,0.125953
868,0.170184
869,0.0668895
870,0.0874186
871,0.107438
872,0.0399852
873,0.203222
874,0.141658
875,0.176263
876,0.0722826
877,0.138909
878,0.136236
879,0.130674
880,0.109698
881,0.138199
882,0.0870736
883,0.087918
884,0.0881128
885,0.140512
886,0.0544888
887,0.136564
888,0.0921711
889,0.0743011
890,0.149779
891,0.110688
892,0.174095
893,0.0392482
894,0.0584591
895,0.106377
896,0.156681
897,0.0751542
898,0.109495
899,0.0378565
900,0.116658
901,0.0561849
902,0.0967373
903,0.0618269
904,0.123426
905,0.0485921
906,0.111909
907,0.0797379
908,0.212804
909,0.155468
910,0.0812088
911,0.0913419
912,0.0806149
913,0.0565426
914,0.0655812
915,0.103366
916,0.07243
917,0.147899
918,0.125468
919,0.0207925
920,0.141385
921,0.104476
922,0.108119
923,0.156828
924,0.0884102
925,0.0888726
926,0.0321804
927,0.00219938
928,0.0440653
929,0.0847795
930,0.111463
931,0.0488072
932,0.133575
933,0.119427
934,0.0657463
935,0.141724
936,0.056736
937,0.136197
938,0.035911
939,0.212676
940,0.056331
941,0.0430214
942,0.173089
943,0.0277643
944,0.0888926
945,0.0888601
946,0.0197027
947,0.133731
948,0.0411997
949,0.0873461
950,0.118385
951,0.112039
952,0.0434786
953,0.0961491
954,0.0918794
955,0.0751467
956,0.0441012
957,0.146056
958,0.0430174
959,0.079179
960,0.077022
961,0.156816
962,0.128784
963,0.093344
964,0.16805
965,0.0342737
966,0.0878691
967,0.00163909
968,0.100445
969,0.0956824
970,0.0651003
971,0.065764
972,0.224699
973,0.0751447
974,0.0190899
975,0.0837537
976,0.04184
977,0.0441267
978,0.0670879
979,0.0306653
980,0.00973809
981,0.0981034
982,0.074982
983,0.0942254
984,0.0472459
985,0.134239
986,0.116709
987,0.0588942
988,0.0597008
989,0.123953
990,0.121225
991,0.0557889
992,0.070344
993,0.107415
994,0.0839231
995,0.114689
996,0.114296
997,0.0473811
998,0.061186
999,0.109554
1000,0.0495341
1001,0.129657
1002,0.0726637
1003,0.0679221
1004,0.072817
1005,0.076891
1006,0.0705717
1007,0.140831
1008,0.169664
1009,0.059104
1010,0.0602096
1011,0.125616
1012,0.116466
1013,0.100664
1014,0.0437118
1015,0.0840275
1016,0.260617
1017,0.0977556
1018,0.11227
1019,0.0541921
1020,0.0337344
1021,0.0656224
1022,0.0613951
1023,0.0861432
1024,0.157362
1025,0.0466227
1026,0.0924399
1027,0.0659051
1028,0.0344733
1029,0.0330602
1030,0.0594719
1031,0.10466
1032,0.0510686
1033,0.0653835
1034,0.0586856
1035,0.131617
1036,0.0663044
1037,0.107852
1038,0.00652
1039,0.106757
1040,0.0481376
1041,0.0974604
1042,0.0368062
1043,0.082309
1044,0.0565361
1045,0.0820161
1046,0.0936374
1047,0.0730844
1048,0.0912648
1049,0.0564518
1050,0.0903067
1051,0.0272186
1052,0.0291481
1053,0.106174
1054,0.0841326
1055,0.102551
1056,0.0708211
1057,0.0313909
1058,0.0583319
1059,0.048177
1060,0.122737
1061,0.0870541
1062,0.0622673
1063,0.0990614
1064,0.0494193
1065,0.0404237
1066,0.0583273
1067,0.0912634
1068,0.0334889
1069,0.116121
1070,0.120523
1071,0.0559094
1072,0.116087
1073,0.0623351
1074,0.0554761
1075,0.0414841
1076,0.0498813
1077,0.0609933
1078,0.0692443
1079,0.0722325
1080,0.0211412
1081,0.0897852
1082,0.0741703
1083,0.0489218
1084,0.0244913
1085,0.0456008
1086,0.0936146
1087,0.0802685
1088,0.104969
1089,0.0765192
1090,0.00991569
1091,0.0316042
1092,0.187199
1093,0.0728618
1094,0.0153575
1095,0.229029
1096,0.098484
1097,0.0588867
1098,0.167636
1099,0.0357025
1100,0.143954
1101,0.136472
1102,0.0204772
1103,0.115845
1104,0.0531313
1105,0.0842129
1106,0.106331
1107,0.0569964
1108,0.169684
1109,0.0791444
1110,0.0395317
1111,0.0664231
1112,0.0655587
1113,0.0294064
1114,0.0762627
1115,0.0381167
1116,0.0466272
1117,0.016045
1118,0.0876007
1119,0.125423
1120,0.138798
1121,0.0820391
1122,0.0411593
1123,0.120725
1124,0.0473797
1125,0.117363
1126,0.0390321
1127,0.0750768
1128,0.051967
1129,0.0518206
1130,0.0332052
1131,0.0742598
1132,0.0262776
1133,0.0191783
1134,0.0457437
1135,0.036555
1136,0.0323157
1137,0.111128
1138,0.00544072
1139,0.0751547
1140,0.144834
1141,0.0862469
1142,0.0586598
