Frequency Index - Plot 0,Magnitude - Plot 0
0,154.202
1,0.0459055
2,0.231124
3,0.17016
4,0.192767
5,0.261999
6,0.286579
7,0.289381
8,1.29102
9,0.266376
10,0.212608
11,0.196385
12,0.113943
13,0.0683703
14,0.0924232
15,0.227594
16,0.22577
17,0.0703606
18,0.249213
19,0.150589
20,0.0804644
21,0.0293032
22,0.226026
23,0.301239
24,0.350678
25,0.114474
26,0.308019
27,0.391734
28,0.237805
29,0.107929
30,0.0720958
31,0.117116
32,0.0651188
33,0.0459792
34,0.323386
35,0.142292
36,0.0747916
37,0.125194
38,0.0851751
39,0.201056
40,0.0262197
41,0.215995
42,0.142103
43,0.0752039
44,0.0807299
45,0.195764
46,0.118033
47,0.133021
48,0.360992
49,0.415459
50,424.063
51,0.559176
52,0.310363
53,0.21132
54,0.144857
55,0.163412
56,0.438274
57,0.101707
58,0.0467852
59,0.0456938
60,0.184671
61,0.0692471
62,0.0629671
63,0.150625
64,0.256905
65,0.0171785
66,0.201215
67,0.1333
68,0.203367
69,0.178926
70,0.124121
71,0.0654616
72,0.183989
73,0.199403
74,0.0573806
75,0.176536
76,0.133166
77,0.056361
78,0.0219566
79,0.150643
80,0.144605
81,0.102556
82,0.19112
83,0.119772
84,0.144277
85,0.159392
86,0.0887538
87,0.187133
88,0.11607
89,0.0971838
90,0.0207057
91,0.0907035
92,0.12379
93,0.0942258
94,0.154653
95,0.190487
96,0.153948
97,0.185618
98,0.228857
99,0.110225
100,0.12668
101,0.12412
102,0.227545
103,0.0420576
104,0.151239
105,0.0433439
106,0.106104
107,0.0950387
108,0.0877873
109,0.0505133
110,0.134108
111,0.190919
112,0.223943
113,0.121634
114,0.210497
115,0.428085
116,0.517365
117,0.71854
118,0.72879
119,1.79383
120,636.302
121,1.75885
122,0.893881
123,0.600994
124,0.61499
125,0.423375
126,0.163561
127,0.313436
128,0.26491
129,0.317573
130,0.294979
131,0.0282308
132,0.346392
133,0.342241
134,0.138085
135,0.0689215
136,0.246402
137,0.185367
138,0.143159
139,0.0347106
140,0.21722
141,0.161371
142,0.108493
143,0.0350761
144,0.125571
145,0.0249073
146,0.160058
147,0.0800164
148,0.123383
149,0.168044
150,0.0724077
151,0.141147
152,0.0946769
153,0.0548336
154,0.175767
155,0.0324739
156,0.0289204
157,0.0129984
158,0.0640217
159,0.196253
160,0.0694549
161,0.124849
162,0.0078913
163,0.21281
164,0.0731204
165,0.177667
166,0.0426012
167,0.103583
168,0.0380312
169,0.132766
170,0.0482167
171,0.152475
172,0.0484201
173,0.0835858
174,0.169954
175,0.138534
176,0.144641
177,0.126614
178,0.101517
179,0.0361252
180,0.249315
181,0.202578
182,0.0319531
183,0.0628979
184,0.111403
185,0.112462
186,0.21736
187,0.132278
188,0.170414
189,0.129492
190,0.0826608
191,0.0665245
192,0.0803247
193,0.125113
194,0.0746488
195,0.169441
196,0.0899916
197,0.106312
198,0.133501
199,0.0556637
200,0.0934345
201,0.0986123
202,0.183185
203,0.111029
204,0.183149
205,0.145126
206,0.060717
207,0.191479
208,0.161165
209,0.0504295
210,0.0193811
211,0.0729991
212,0.0747805
213,0.116147
214,0.042966
215,0.116625
216,0.10128
217,0.08262
218,0.0902589
219,0.158156
220,0.0873623
221,0.0755314
222,0.109995
223,0.0759705
224,0.0162085
225,0.0734773
226,0.0993004
227,0.0347978
228,0.138841
229,0.152598
230,0.0240529
231,0.0840523
232,0.0670151
233,0.0672541
234,0.187754
235,0.0152168
236,0.0206443
237,0.15629
238,0.0969135
239,0.0102796
240,0.241943
241,0.0960062
242,0.0469294
243,0.217571
244,0.0921422
245,0.0602756
246,0.0896316
247,0.107766
248,0.142145
249,0.0290411
250,0.0472068
251,0.121392
252,0.111499
253,0.10394
254,0.176024
255,0.123583
256,0.0477382
257,0.114211
258,0.170178
259,0.14994
260,0.0833745
261,0.0550253
262,0.162181
263,0.0928147
264,0.152963
265,0.0710173
266,0.122836
267,0.168999
268,0.0482115
269,0.0819915
270,0.1191
271,0.117581
272,0.0182594
273,0.0348811
274,0.141925
275,0.217107
276,0.094922
277,0.118732
278,0.0691247
279,0.0809131
280,0.140353
281,0.031434
282,0.021318
283,0.0510526
284,0.0972383
285,0.12905
286,0.140878
287,0.0146219
288,0.106389
289,0.154001
290,0.189364
291,0.132755
292,0.179058
293,0.0717286
294,0.22344
295,0.0336327
296,0.124228
297,0.135578
298,0.127697
299,0.0351642
300,0.301398
301,0.177092
302,0.0480469
303,0.0659561
304,0.0589695
305,0.16506
306,0.085916
307,0.19818
308,0.0775185
309,0.0608912
310,0.03038
311,0.0604081
312,0.125545
313,0.0803229
314,0.0474387
315,0.103174
316,0.193021
317,0.161067
318,0.167554
319,0.1346
320,0.0867797
321,0.0944123
322,0.0885058
323,0.133033
324,0.0831299
325,0.0932314
326,0.178654
327,0.0993605
328,0.181056
329,0.0767204
330,0.137462
331,0.0584963
332,0.0961355
333,0.0809687
334,0.173074
335,0.139666
336,0.154944
337,0.117214
338,0.0883133
339,0.104758
340,0.0826927
341,0.166958
342,0.157353
343,0.195178
344,0.0867051
345,0.0265811
346,0.0418725
347,0.0809021
348,0.0929508
349,0.0461074
350,0.157054
351,0.0978018
352,0.145619
353,0.072386
354,0.105626
355,0.219679
356,0.0798297
357,0.114005
358,0.0898637
359,0.102121
360,0.0563465
361,0.0868721
362,0.112355
363,0.142401
364,0.0836624
365,0.0923028
366,0.132501
367,0.130898
368,0.0636049
369,0.220998
370,0.205026
371,0.0968892
372,0.0862566
373,0.111457
374,0.0333172
375,0.190592
376,0.125285
377,0.0994972
378,0.20068
379,0.281064
380,0.095569
381,0.0839366
382,0.107229
383,0.0735053
384,0.179189
385,0.132195
386,0.1054
387,0.0401073
388,0.138716
389,0.0841706
390,0.197921
391,0.139337
392,0.122673
393,0.208918
394,0.237816
395,0.116456
396,0.131016
397,0.158232
398,0.0930108
399,0.129661
400,0.138996
401,0.194589
402,0.141194
403,0.0686874
404,0.0652049
405,0.158011
406,0.0955501
407,0.165468
408,0.164521
409,0.111547
410,0.093525
411,0.134968
412,0.203604
413,0.17645
414,0.157162
415,0.202027
416,0.0993915
417,0.188907
418,0.0878548
419,0.139909
420,0.197407
421,0.179232
422,0.0909689
423,0.26283
424,0.281732
425,0.0692389
426,0.0756575
427,0.191162
428,0.134508
429,0.214287
430,0.225243
431,0.265085
432,0.282671
433,0.2708
434,0.210407
435,0.176581
436,0.201397
437,0.232653
438,0.23806
439,0.300678
440,0.182681
441,0.209775
442,0.249224
443,0.229889
444,0.209121
445,0.119066
446,0.379998
447,0.19564
448,0.279535
449,0.213907
450,0.153321
451,0.388449
452,0.206457
453,0.471052
454,0.389499
455,0.382541
456,0.26521
457,0.369401
458,0.230416
459,0.308902
460,0.385859
461,0.114007
462,0.392022
463,0.296167
464,0.307746
465,0.451495
466,0.411335
467,0.475856
468,0.435537
469,0.533343
470,0.452827
471,0.497812
472,0.511176
473,0.811509
474,0.472715
475,0.842542
476,0.657933
477,0.680434
478,0.845397
479,0.878282
480,0.864414
481,0.828792
482,1.19934
483,1.33954
484,1.56761
485,1.87805
486,2.32238
487,3.20367
488,4.83754
489,9.19598
490,848.147
491,9.20391
492,4.75931
493,3.0264
494,2.31582
495,1.94762
496,1.44784
497,1.42666
498,1.26885
499,1.22781
500,0.782213
501,0.807105
502,0.734484
503,0.748969
504,0.717873
505,0.748841
506,0.595352
507,0.398147
508,0.445
509,0.443858
510,0.500822
511,0.497677
512,0.315639
513,0.376975
514,0.281167
515,0.234985
516,0.338967
517,0.391
518,0.530298
519,0.323931
520,0.114396
521,0.310464
522,0.201485
523,0.394841
524,0.242346
525,0.253452
526,0.280998
527,0.222705
528,0.361854
529,0.339353
530,0.313667
531,0.328745
532,0.254756
533,0.377015
534,0.255238
535,0.271988
536,0.184575
537,0.168432
538,0.12575
539,0.346255
540,0.116589
541,0.200358
542,0.203754
543,0.154683
544,0.243614
545,0.247093
546,0.270966
547,0.0256055
548,0.113269
549,0.312671
550,0.204195
551,0.191097
552,0.259325
553,0.264456
554,0.188369
555,0.0779669
556,0.124626
557,0.145982
558,0.1849
559,0.0392719
560,0.16179
561,0.122521
562,0.0916359
563,0.117287
