Frequency Index - Plot 0,Magnitude - Plot 0
0,656.518
1,1.35546
2,6.50779
3,2.25404
4,2.02341
5,1.3743
6,0.697727
7,0.857731
8,0.915214
9,1.54095
10,0.797898
11,1.31358
12,0.186773
13,0.660369
14,0.292509
15,1.20372
16,0.31591
17,0.443621
18,0.109873
19,0.363911
20,0.11003
21,0.247557
22,0.247704
23,0.281054
24,0.373301
25,0.159988
26,0.51151
27,0.17857
28,0.666928
29,0.162063
30,0.58192
31,0.252363
32,0.673461
33,0.658579
34,0.545624
35,0.413948
36,0.220984
37,0.223698
38,0.369062
39,0.407412
40,0.238344
41,0.143264
42,0.354292
43,0.463289
44,0.197493
45,0.199348
46,0.367217
47,0.255506
48,0.238508
49,0.393993
50,0.123046
51,0.34446
52,0.504525
53,0.256237
54,0.0256929
55,0.396144
56,0.507223
57,0.195735
58,0.72492
59,0.0829955
60,0.535177
61,0.533849
62,0.579583
63,0.452488
64,0.171724
65,0.285533
66,0.336089
67,0.260893
68,0.41439
69,0.443764
70,0.144493
71,0.57133
72,0.167475
73,0.345098
74,0.338935
75,0.288605
76,0.170475
77,0.274619
78,0.317184
79,0.42043
80,0.59768
81,0.438445
82,0.15
83,0.205037
84,0.17969
85,0.503757
86,0.185404
87,0.334293
88,0.080222
89,0.370336
90,0.433183
91,0.331913
92,0.185847
93,0.437342
94,0.184229
95,0.165901
96,0.473625
97,0.414396
98,0.293976
99,0.302976
100,0.407736
101,0.127915
102,0.238689
103,0.189843
104,0.171672
105,0.297507
106,0.169793
107,0.256331
108,0.0311995
109,0.201452
110,0.209535
111,0.396222
112,0.298827
113,0.385486
114,0.334898
115,0.411276
116,0.248974
117,0.183481
118,0.0565585
119,0.258762
120,0.215203
121,0.220353
122,0.435776
123,0.245166
124,0.183771
125,0.137208
126,0.154454
127,0.120978
128,0.0796062
129,0.41178
130,0.0471984
131,0.0472037
132,0.203783
133,0.0908848
134,0.209494
135,0.302531
136,0.37461
137,0.133263
138,0.0803892
139,0.45253
140,0.312556
141,0.0969863
142,0.0215288
143,0.184313
144,0.29995
145,0.264645
146,0.158443
147,0.395872
148,0.389996
149,0.153777
150,0.446524
151,0.126269
152,0.400339
153,0.346644
154,0.159824
155,0.106249
156,0.309799
157,0.274083
158,0.184337
159,0.12417
160,0.252534
161,0.191399
162,0.259784
163,0.227291
164,0.311895
165,0.460772
166,0.270838
167,0.28072
168,0.190888
169,0.0466446
170,0.16455
171,0.120692
172,0.259817
173,0.220869
174,0.0944354
175,0.254287
176,0.117746
177,0.310918
178,0.0311998
179,0.32965
180,0.486143
181,0.221523
182,0.241378
183,0.36965
184,0.258502
185,0.144162
186,0.339163
187,0.595835
188,0.558523
189,0.806996
190,0.740876
191,0.857387
192,1.10985
193,0.713156
194,1.40218
195,1.50752
196,1.69159
197,2.80306
198,3.72387
199,8.3124
200,1834.74
201,8.25588
202,4.37837
203,2.91278
204,2.28024
205,1.85137
206,1.15559
207,1.56895
208,1.47179
209,0.954123
210,0.979082
211,1.09464
212,0.571737
213,1.02071
214,0.729802
215,1.10324
216,0.875748
217,1.24743
218,0.633165
219,1.00892
220,0.707892
221,0.602448
222,0.807478
223,0.396959
224,0.89096
225,0.938128
226,0.654469
227,0.275384
228,0.444112
229,0.532315
230,0.731404
231,0.514066
232,0.544999
233,0.607063
234,1.09274
235,0.568952
236,0.799653
237,0.601953
238,0.510341
239,0.434533
240,1.4387
241,0.593177
242,0.498592
243,0.39672
244,0.630656
245,0.462175
246,0.311957
247,0.796537
248,0.469654
249,0.211281
250,0.531817
251,0.625632
252,0.472168
253,0.612953
254,0.539466
255,0.558809
256,0.485432
257,0.595292
258,0.439382
259,0.395409
260,0.342991
261,0.431448
262,0.138283
263,0.302444
264,0.320603
265,0.48141
266,0.374575
267,0.234993
268,0.495022
269,0.325131
270,0.419112
271,0.443979
272,0.387237
273,0.466914
274,0.20389
275,0.241814
276,0.269188
277,0.10109
278,0.355405
279,0.537118
280,0.468824
281,0.384206
282,0.482875
283,0.51089
284,0.340907
285,0.577271
286,0.156061
287,0.297401
288,0.557421
289,0.530198
290,0.422818
291,0.348959
292,0.305262
293,0.61944
294,0.189126
295,0.362067
296,0.320252
297,0.538771
298,0.528367
299,0.196345
300,0.495008
301,0.43156
302,0.452388
303,0.260587
304,0.497231
305,0.337224
306,0.445571
307,0.308241
308,0.364348
309,0.500688
310,0.534971
311,0.284276
312,0.415209
313,0.337072
314,0.0574324
315,0.326519
316,0.27268
317,0.0467339
318,0.312751
319,0.500689
320,0.277529
321,0.44917
322,0.396596
323,0.394736
324,0.323704
325,0.412899
326,0.307063
327,0.332294
328,0.220687
329,0.30478
330,0.212926
331,0.27607
332,0.209667
333,0.375452
334,0.204449
335,0.184769
336,0.314901
337,0.367254
338,0.375337
339,0.235522
340,0.403348
341,0.335178
342,0.640022
343,0.186469
344,0.389438
345,0.49484
346,0.592662
347,0.278602
348,0.486505
